customer_id,customer_name,segment,first_order_date,last_order_date,cohort_year,recency_days,lifetime_days,lifetime_years,orders_count,units_sold,aov,total_sales,total_profit,profit_margin_pct,avg_discount_pct,annualized_clv,r_score,f_score,m_score,rfm_code,rfm_segment,value_quadrant,clv_decile
AA-10315,Alex Avila,Consumer,2023-03-31,2026-06-29,2023,184,1186,3.25,5,30,1112.71,5563.56,-362.88,-6.52,9.09,1712.23,2,2,5,225,Need Attention,High Vol / Low Profit,2
AA-10375,Allen Armold,Consumer,2023-04-21,2026-12-11,2023,19,1330,3.64,9,41,117.38,1056.39,277.38,26.26,8.0,289.91,5,4,2,542,Need Attention,Low Vol / High Profit,9
AA-10480,Andrew Allen,Consumer,2023-05-04,2026-04-15,2023,259,1077,2.95,4,36,447.63,1790.51,435.83,24.34,1.67,606.81,1,1,3,113,Need Attention,Low Vol / High Profit,7
AA-10645,Anna Andreadi,Consumer,2023-06-22,2026-11-05,2023,55,1232,3.38,6,64,847.82,5086.93,857.8,16.86,6.39,1507.09,3,3,5,335,Need Attention,High Vol / High Profit,3
AB-10015,Aaron Bergman,Consumer,2023-02-18,2025-11-10,2023,415,996,2.73,3,13,295.39,886.16,129.35,14.6,6.67,324.75,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,9
AB-10060,Adam Bellavance,Home Office,2024-09-18,2026-11-06,2024,54,779,2.13,8,56,969.45,7755.62,2054.59,26.49,4.44,3633.89,3,4,5,345,Loyal Customers,High Vol / High Profit,1
AB-10105,Adrian Barton,Consumer,2023-12-20,2026-11-19,2023,41,1065,2.92,10,73,1447.36,14473.57,5444.81,37.62,24.0,4960.43,4,5,5,455,Champions,High Vol / High Profit,1
AB-10150,Aimee Bixby,Consumer,2023-03-05,2026-11-19,2023,41,1355,3.71,5,37,193.34,966.71,313.66,32.45,13.33,260.41,4,2,2,422,New Customers,Low Vol / High Profit,9
AB-10165,Alan Barnes,Consumer,2023-11-16,2026-12-20,2023,10,1130,3.1,10,54,121.5,1215.02,262.73,21.62,13.12,392.46,5,5,2,552,Need Attention,Low Vol / High Profit,8
AB-10255,Alejandro Ballentine,Home Office,2023-07-22,2026-07-17,2023,166,1091,2.99,9,39,101.61,914.53,264.57,28.93,10.0,305.96,2,4,1,241,Need Attention,Low Vol / High Profit,9
AB-10600,Ann Blume,Corporate,2023-11-18,2026-11-10,2023,50,1088,2.98,4,38,378.97,1515.86,-274.96,-18.14,37.5,508.54,4,1,2,412,New Customers,Low Vol / Low Profit,7
AC-10420,Alyssa Crouse,Corporate,2023-07-12,2026-05-12,2023,232,1035,2.84,3,17,308.6,925.8,-62.13,-6.71,32.0,326.49,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,9
AC-10450,Amy Cox,Consumer,2023-10-31,2026-12-19,2023,11,1145,3.14,7,43,789.69,5527.85,1366.01,24.71,18.89,1762.15,5,3,5,535,Potential Loyalists,High Vol / High Profit,2
AC-10615,Ann Chong,Corporate,2024-09-15,2026-12-24,2024,6,830,2.27,5,59,507.54,2537.69,298.83,11.78,11.11,1115.97,5,2,3,523,Potential Loyalists,High Vol / High Profit,4
AC-10660,Anna Chung,Consumer,2023-10-15,2026-03-23,2023,282,890,2.44,5,16,131.46,657.32,-28.7,-4.37,18.33,269.57,1,2,1,121,Lost / Hibernating,Low Vol / Low Profit,9
AD-10180,Alan Dominguez,Home Office,2023-11-19,2026-12-01,2023,29,1108,3.04,8,40,763.36,6106.88,1869.93,30.62,5.83,2011.74,4,4,5,445,Champions,High Vol / High Profit,2
AF-10870,Art Ferguson,Consumer,2024-12-06,2026-11-19,2024,41,713,1.95,7,51,293.27,2052.91,317.97,15.49,20.0,1050.93,4,3,3,433,Potential Loyalists,Low Vol / High Profit,4
AF-10885,Art Foster,Consumer,2023-05-10,2025-11-10,2023,415,915,2.51,4,37,215.39,861.56,-163.12,-18.93,25.71,343.68,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,9
